,target,state,year,crop,area,ndvi_1,ndvi_17,ndvi_33,ndvi_49,ndvi_65,ndvi_81,ndvi_97,ndvi_113,ndvi_129,ndvi_145,ndvi_161,ndvi_177,prec_1,prec_32,prec_60,prec_91,prec_121,prec_152,prec_182,temp_1,temp_9,temp_17,temp_25,temp_33,temp_41,temp_49,temp_57,temp_65,temp_73,temp_81,temp_89,temp_97,temp_105,temp_113,temp_121,temp_129,temp_137,temp_145,temp_153,temp_161,temp_169,temp_177
0,33.5,North Dakota,2001,soybeans,2150000,-122.538,-214.272,-213.254,-217.498,682.852,1469.132,2083.309,2474.749,3438.685,4530.333,5393.437,6638.616,0.0,0.001,0.0,0.002,0.002,0.004,0.005,13223.386,13408.814,13147.49,13329.556,13349.062,12895.716,13113.468,13349.892,13631.994,13895.59,13827.334,14073.836,14277.705,14260.103,14901.378,14866.43,15095.936,15085.152,15109.064,15105.346,15097.076,14917.295696153846,15076.45
1,33.0,North Dakota,2002,soybeans,2670000,1403.378,403.376,1442.808,1988.787,1132.954,1351.85,2252.793,2380.534,2666.102,3328.683,4942.655,5886.177,0.001,0.0,0.001,0.002,0.002,0.003,0.003,13283.135,13696.273,13421.347,13083.489,13562.77,13825.358,13922.716,13305.394,13414.616,13958.041,13967.475,13888.245,14659.465,14684.214,14407.513,14711.318,14.849,15010.388,15381.132,15325.242,15191.628,15216.11,15407.474
2,29.0,North Dakota,2003,soybeans,3150000,460.362,124.444,89.07,223.286,1495.452,2098.952,2302.831,2936.211,3770.542,4662.693,5993.365,6403.613,0.001,0.001,0.001,0.001,0.004,0.003,0.001,13650.322,13173.142,12986.046,12875.364,12848.012,13128.421,13185.033,13105.502,13133.698,14031.002,14179.966,14271.137,14824.378,14826.154,14847.762,14934.076,14824.982,14928.547,15109.402,14879.109,15156.12,15171.294,15125.474
3,23.0,North Dakota,2004,soybeans,3750000,-126.944,-96.872,-269.606,-283.778,211.704,2081.337,2430.139,2758.624,3302.878,4351.12,5386.387,5997.012,0.001,0.001,0.002,0.001,0.004,0.002,0.003,12837.807,13259.679,13079.16,12596.252,12771.707,13229.472,13556.335,13545.591,13683.596,13755.985,14105.309,14488.677,14559.618,14601.708,14767.506,14996.96,14983.721,14925.083,14886.403,15142.216,14888.243,14927.91,15228.958
4,36.5,North Dakota,2005,soybeans,2950000,-54.288,532.7,1071.12,1161.004,1436.91,2138.303,2417.808,2772.231,3577.429,5056.85,6172.416,6886.866,0.001,0.0,0.001,0.001,0.003,0.005,0.002,12725.78,12536.091,13172.217,13622.558,13489.469,13656.66,13544.081,13897.645,13950.79,13732.57,14019.198,14490.193,14796.15,14877.602,14905.535,14998.598,14612.413,15047.984,14843.763,14937.297,14956.45,15126.858,14915.577
5,31.5,North Dakota,2006,soybeans,3900000,337.694,805.974,768.784,639.196,1152.432,1920.824,2353.72,2884.685,3461.9,4610.876,5857.188,5971.122,0.0,0.001,0.001,0.002,0.001,0.002,0.001,13441.647,13590.757,13316.911,13682.46,13277.464,13360.863,13193.878,13529.379,13810.581,13686.944,13958.064,14305.185,14645.831,14870.493,14856.714,14983.14,15021.888,15213.838,15168.138,15369.696,15124.209,15123.785,15295.944
6,35.5,North Dakota,2007,soybeans,3100000,35.638,286.468,-68.806,-83.438,938.148,2041.088,2455.583,3101.515,3941.274,5039.094,6430.344,6617.326,0.0,0.001,0.002,0.001,0.005,0.004,0.001,13385.272,12905.612,13335.771,13327.11,12631.976,12798.785,13562.207,13265.204,13817.472,13928.748,14408.765,13624.923,14205.784,14729.56,15009.946,14979.802,15097.83,15067.304,14843.747,14973.222,15048.998,15153.722,15083.114
7,28.0,North Dakota,2008,soybeans,3800000,742.786,306.71,223.65,597.178,1429.556,1945.282,2205.34,2381.106,2796.446,3854.334,5131.838,5939.315,0.0,0.001,0.001,0.001,0.002,0.004,0.002,13407.986,13169.521,12910.361,13244.118,13031.212,13276.032,13299.974,13502.397,13699.678,14032.476,14035.417,14341.857,14563.256,14917.68,14761.339,14913.61,14921.96,15102.348,15090.68,15091.304,15000.371,15235.32,15187.502
8,30.0,North Dakota,2009,soybeans,3900000,-325.908,-364.754,-295.28,-282.452,-226.332,-57.396,2069.535,2632.359,3157.681,3863.916,5237.673,6015.034,0.001,0.001,0.002,0.001,0.002,0.003,0.003,12712.138,12597.481,13270.126,13149.829,13327.252,13049.497,13004.223,13136.811,13252.552,13724.638,13548.872,13675.475,14023.864,14567.461,14682.781,14715.542,14812.356,15039.35,15153.49,15092.19,15198.508,15246.7,15141.1
9,34.0,North Dakota,2010,soybeans,4100000,-264.932,-382.208,-288.408,-349.724,-211.47,2027.715,2465.604,3089.453,3707.653,4632.307,6080.697,6587.732,0.001,0.001,0.001,0.002,0.004,0.004,0.002,12367.6,13399.544,13365.691,12771.876,12876.177,12948.414,13000.092,13360.911,13614.682,13737.006,14111.051,14463.303,14538.164,14891.976,14861.025,14466.468,14978.398,15142.678,14951.793,14951.166,15056.664,15044.41,15083.206
