,target,state,year,crop,area,ndvi_1,ndvi_17,ndvi_33,ndvi_49,ndvi_65,ndvi_81,ndvi_97,prec_1,prec_32,prec_60,prec_91,temp_1,temp_9,temp_17,temp_25,temp_33,temp_41,temp_49,temp_57,temp_65,temp_73,temp_81,temp_89,temp_97
0,33.5,North Dakota,2001,soybeans,2150000,-122.538,-214.272,-213.254,-217.498,682.852,1469.132,2083.309,0.0,0.001,0.0,0.002,13223.386,13408.814,13147.49,13329.556,13349.062,12895.716,13113.468,13349.892,13631.994,13895.59,13827.334,14073.836,14277.705
1,33.0,North Dakota,2002,soybeans,2670000,1403.378,403.376,1442.808,1988.787,1132.954,1351.85,2252.793,0.001,0.0,0.001,0.002,13283.135,13696.273,13421.347,13083.489,13562.77,13825.358,13922.716,13305.394,13414.616,13958.041,13967.475,13888.245,14659.465
2,29.0,North Dakota,2003,soybeans,3150000,460.362,124.444,89.07,223.286,1495.452,2098.952,2302.831,0.001,0.001,0.001,0.001,13650.322,13173.142,12986.046,12875.364,12848.012,13128.421,13185.033,13105.502,13133.698,14031.002,14179.966,14271.137,14824.378
3,23.0,North Dakota,2004,soybeans,3750000,-126.944,-96.872,-269.606,-283.778,211.704,2081.337,2430.139,0.001,0.001,0.002,0.001,12837.807,13259.679,13079.16,12596.252,12771.707,13229.472,13556.335,13545.591,13683.596,13755.985,14105.309,14488.677,14559.618
4,36.5,North Dakota,2005,soybeans,2950000,-54.288,532.7,1071.12,1161.004,1436.91,2138.303,2417.808,0.001,0.0,0.001,0.001,12725.78,12536.091,13172.217,13622.558,13489.469,13656.66,13544.081,13897.645,13950.79,13732.57,14019.198,14490.193,14796.15
5,31.5,North Dakota,2006,soybeans,3900000,337.694,805.974,768.784,639.196,1152.432,1920.824,2353.72,0.0,0.001,0.001,0.002,13441.647,13590.757,13316.911,13682.46,13277.464,13360.863,13193.878,13529.379,13810.581,13686.944,13958.064,14305.185,14645.831
6,35.5,North Dakota,2007,soybeans,3100000,35.638,286.468,-68.806,-83.438,938.148,2041.088,2455.583,0.0,0.001,0.002,0.001,13385.272,12905.612,13335.771,13327.11,12631.976,12798.785,13562.207,13265.204,13817.472,13928.748,14408.765,13624.923,14205.784
7,28.0,North Dakota,2008,soybeans,3800000,742.786,306.71,223.65,597.178,1429.556,1945.282,2205.34,0.0,0.001,0.001,0.001,13407.986,13169.521,12910.361,13244.118,13031.212,13276.032,13299.974,13502.397,13699.678,14032.476,14035.417,14341.857,14563.256
8,30.0,North Dakota,2009,soybeans,3900000,-325.908,-364.754,-295.28,-282.452,-226.332,-57.396,2069.535,0.001,0.001,0.002,0.001,12712.138,12597.481,13270.126,13149.829,13327.252,13049.497,13004.223,13136.811,13252.552,13724.638,13548.872,13675.475,14023.864
9,34.0,North Dakota,2010,soybeans,4100000,-264.932,-382.208,-288.408,-349.724,-211.47,2027.715,2465.604,0.001,0.001,0.001,0.002,12367.6,13399.544,13365.691,12771.876,12876.177,12948.414,13000.092,13360.911,13614.682,13737.006,14111.051,14463.303,14538.164
10,29.0,North Dakota,2011,soybeans,4000000,-326.034,-344.748,-396.734,-291.636,-302.448,83.228,1738.154,0.001,0.001,0.001,0.003,12892.112,12608.642,12714.105,13297.839,13211.516,13593.162,13039.002,13093.505,13228.492,13710.112,13424.669,13871.671,14308.461
11,34.5,North Dakota,2012,soybeans,4750000,1995.737,1423.226,1705.752,1353.244,2062.194,2482.673,2659.313,0.001,0.001,0.001,0.002,13637.196,13785.589,13206.409,13681.306,13670.724,13605.653,13824.439,13289.224,14056.974,14432.253,14606.642,14760.444,14472.792
12,30.5,North Dakota,2013,soybeans,4650000,-118.708,-3.814,13.752,89.008,194.722,433.326,-175.08,0.001,0.001,0.001,0.002,13284.64,13095.579,12949.201,12938.192,13396.167,13312.106,13304.159,13496.952,13396.938,13328.534,13529.665,13859.052,13761.301
13,34.5,North Dakota,2014,soybeans,5900000,-186.676,140.426,165.946,305.308,1373.88,1582.738,2317.188,0.001,0.0,0.001,0.002,12506.261,13442.142,13230.143,12920.2,12866.86,13014.88,13189.555,12903.86,13820.196,13952.937,13866.363,13876.397,14341.865
14,32.5,North Dakota,2015,soybeans,5750000,296.46,1236.152,658.814,544.392,1936.896,2296.596,2406.044,0.001,0.001,0.001,0.001,12906.554,13077.822,13585.426,13642.921,13430.955,13280.595,12864.795,13236.536,14073.088,14368.2,14229.259,14550.727,14700.906
15,41.5,North Dakota,2016,soybeans,6050000,7.996,364.732,792.59,1577.185,2289.295,2219.602,2620.008,0.0,0.001,0.001,0.003,13302.908,12643.773,13467.627,13679.071,13495.702,13124.845,13783.933580769231,13847.646,14282.092,14254.576,14333.232,14493.248,14509.864
16,34.5,North Dakota,2017,soybeans,7100000,-252.912,-334.066,-231.286,433.413,838.92,2219.602,2716.493,0.001,0.001,0.001,0.001,12480.914,12873.316,13404.368,13357.14,12853.227,13656.138,13713.174,13623.299,13380.506,13770.256,14263.206,14459.742,14664.454
